name,category,price,description,image_url,in_stock
Dell OptiPlex 3080 Core i5,desktops,"₦220,000","Industry standard corporate reliability. Extremely tough, easily serviceable, perfect for standard workstations.",,true
Lenovo ThinkCentre M720,desktops,"₦285,000","Compact security-conscious workstation. Perfect for secure offices, banks, and clinical data terminals.",,true
Canon EOS M50 Mark II,cameras,"₦420,000","Popular vlogging and content creation camera. Compact, with dual pixel autofocus, clear 4K video recording, and simple streaming.",,true
Canon EOS 250D DSLR,cameras,"₦580,000","Perfect entry DSLR. Long-lasting battery, classic optical viewfinder, beautiful colors, and incredible portrait detailing.",,true
HP Webcam HD Pro 1080p,cameras,"₦22,000","Upgrade your video calls. Autofocus camera with standard low-light enhancement, built-in noise-canceling microphone, and robust clips.",,true
4-Channel CCTV Package,cctv,"₦85,000","Complete security set for small shops or houses. Includes weather-proof outdoor cameras, high quality DVR box, accessories, and power packs.",,true
8-Channel CCTV Package,cctv,"₦145,000","Comprehensive home/office security monitoring. Full HD recording, motion alarms, and simple connection for remote phone viewing.",,true
Kaspersky Internet Security 1yr,cctv,"₦12,000","Award-winning malware block. Protects your computer, banking details, and personal files from internet hacks.",,true
ASUS RT-AX55 Wi-Fi 6 Router,networking,"₦45,000","Cutting edge Wi-Fi 6 technology. Prevents lag with multiple devices connected simultaneously, perfect for offices and smart homes.",,true
TP-Link Business Router,networking,"₦55,000",Connect two internet providers together to ensure zero downtime. Balances load and manages local bandwidth for active offices.,,true
HP OfficeConnect Switch 1820,networking,"₦38,000","Reliable managed local switches. High speed gigabit ports, excellent safety protocols, perfect for linking office machines.",,true
LG 24” IPS FHD Monitor,monitors,"₦88,000","Beautiful color-accurate screen. Wide viewing angles, elegant stand, and eye-friendly blue-light reduction filters.",,true
LG 27” QHD Monitor,monitors,"₦185,000","High resolution workspace monitor. Extreme crispness for visual editors, CAD designers, and multitasking professionals.",,true
Microsoft Office 2021 Professional,software,"₦28,000",Full software package for offices. Lifetime activation on one PC without monthly subscription costs.,,true
Windows 11 Pro Licence,software,"₦18,000","Original Windows activation key. Access complete encryption tools, professional remote desktop, and robust security.",,true
Kaspersky Total Security 1yr,software,"₦15,000","Ultimate device protection package. Secure VPN, file vault encryption, password keeper, and kids filters.",,true
HP Wireless Mouse & Keyboard,accessories,"₦15,000","Extremely comfortable silent input tools. Single small USB dongle controls both keyboard and mouse, saving ports.",,true
HP 15.6” Laptop Bag,accessories,"₦8,500","Padded commuter backpack. Specialized secure laptop sleeve, breathable padding, and side pockets.",,true
UPS 650VA (Home/Small Office),accessories,CALL,"Emergency backup power unit. Keeps your laptop, router, and monitors running during power cuts so you never lose unsaved tasks.",,true
Choice 1.5KVA 12V Inverter,solar,"₦220,000","Excellent entry-level system. Powers standard lights, fans, TV, and laptops during short cuts.",,true
Choice 2.5KVA 24V Inverter,solar,"₦360,000","Standard household inverter. Excellent stability, handles multiple rooms, fans, refrigerators, and electronics.",,true
Choice 5KVA 48V Inverter,solar,"₦520,000","Powerful inverter for large houses or active small offices. Handles heavy lighting, multiple coolers, and small water pumps.",,true
Cworth 1.8KVA Hybrid,solar,"₦300,000","Integrated solar controller and pure sine wave inverter in one unit. Highly efficient, auto-switches solar, grid and battery.",,true
Cworth 3.6KVA Hybrid,solar,"₦430,000",Medium power hybrid. Connects solar panels directly without external controllers. Highly intuitive display panel.,,true
Cworth 4KVA Hybrid,solar,"₦520,000",Heavy-duty 24V hybrid inverter. Designed for medium households wanting comprehensive solar independence.,,true
Growatt 6KW Hybrid,solar,"₦680,000","Premium smart inverter. Elite performance with smart app monitoring, high voltage solar array support, and clean power delivery.",,true
Felicity 5KVA Hybrid,solar,"₦850,000","Top-tier reliability. Excellent heat management, smart programmable cycles, and extreme power output.",,true
Felicity 10KVA Hybrid,solar,"₦1,400,000","Heavy commercial scale hybrid inverter. Powers entire warehouses, medical laboratories, deep freezers, and dynamic heavy loads.",,true
12.4V 2400W Lithium Battery,solar,"₦250,000","Sleek compact storage. Ideal replacement for standard lead batteries, lasting up to 5 times longer with faster charging times.",,true
Deye 5KWH 48V Lithium,solar,"₦1,050,000","World-class energy storage wall. Sleek wall-mounted design, smart battery management system (BMS), and up to 10 years active lifespan.",,true
Cworth 5KWH 48V Lithium,solar,"₦1,150,000",High discharge rating battery. Highly stable and compatible with major inverter protocols.,,true
Felicity 5KWH 48V Lithium,solar,"₦1,150,000","Extremely popular smart lithium battery. Excellent protection standards, long lifecycle, perfect companion for 5KVA setups.",,true
Felicity 10KWH 48V Lithium,solar,"₦1,800,000",Massive storage capacity. Excellent for offices and large family houses seeking comprehensive night-time autonomy.,,true
Blue Carbon 15KWH Lithium,solar,"₦2,200,000",Heavy commercial power reserve. Features highly stable lithium-iron-phosphate (LiFePO4) chemistry for ultimate safety and performance.,,true
Cworld 20KWH Lithium,solar,"₦3,200,000","Mega industrial battery backup. Keeps production facilities, servers, or mini-grids running reliably through extended darkness.",,true
12V 220AH Tubular Battery,solar,"₦260,000","Heavy deep-cycle acid battery. Robust and durable with low maintenance, excellent for affordable backup power.",,true
460W Fairly Used Panel,solar,"₦50,000","Verified secondary solar panels. Pre-tested output rates, extremely economical for quick setups or low budgets.",,true
460W Exulted Mono Panel,solar,"₦95,000",High-grade monocrystalline cell technology. Excellent performance under low-light and cloudy conditions.,,true
450W Jinko Mono Panel,solar,"₦140,000","Premium tier-1 panels. Certified quality standard, durable framing, high conversion efficiency.",,true
590W Jinko Mono Bifacial,solar,"₦155,000","Double-sided generation! Captures solar light from both sides of the panel, boosting efficiency up to an extra 25%.",,true
620W Jinko Mono Bifacial,solar,"₦160,000","High-output professional panel. Delivers incredible power density, reducing total required roof footprint.",,true
715W Jinko Solar Panel,solar,"₦170,000","One of the most powerful panels on the market. Maximizes solar yield per square meter, perfect for dynamic installations.",,true
Felicity 60A Controller,solar,"₦190,000",Highly stable smart solar charger. Increases solar panel yield up to 30% compared to standard PWM chargers.,,true
Felicity 80A Controller,solar,"₦260,000","Heavy duty MPPT charger. Protects battery banks from overcharging, monitors dynamic input flows.",,true
Felicity 100A Controller,solar,"₦300,000",Ultimate high current MPPT solar regulator. Excellent heat dissipation and high efficiency tracking.,,true
Felicity 120A Controller,solar,"₦320,000",Heavy commercial grade MPPT. Coordinates very large panel arrays to deliver maximum charge currents.,,true
6MM Solar Cable,solar,"₦5,000",Heavy duty pure copper outdoor solar cables. UV protected casing prevents decay under Delta heat.,,true
10MM Solar Cable,solar,"₦6,800",Ultra-thick power transmission cable. Prevents power losses over long cable lengths between array and inverter.,,true
Cworth 1200W/2500WH Solar Generator,solar,"₦750,000","Complete portable solar generator! Includes integrated lithium battery, smart inverter, USB ports, AC plugs, and solar charger in a single box.",,true
Itel 500W Solar Generator 1000Wh,solar,"₦380,000","Lightweight utility generator. Excellent for running televisions, desktop computers, or routers during blackouts.",,true
HP Envy,laptops,CALL,"If you are looking for a compact premium laptop, the HP Envy 13-inch is for you.",,true
HP 14 Laptop,laptops,CALL,"If you are looking for a dependable everyday laptop, the HP 14 i3 (Silver) is for you.",,true
HP 14 Laptop,laptops,CALL,"If you are looking for a dependable everyday laptop, the HP 14 i3 (Dark Silver) is for you.",,true
HP 14 Laptop,laptops,CALL,"If you are looking for an affordable everyday laptop, the HP 14 i3 (Black, 256GB) is for you.",,true
Solar Battery,solar,CALL,"If you are looking for a reliable inverter battery, the Orex 240Ah/12V Battery is for you.",,true
Solar Battery,solar,CALL,"If you are looking for a reliable inverter battery, the WEXcell 240Ah/12V Battery is for you.",,true
HP Pavilion,laptops,CALL,Imported from CSV Sheet,,true
HP Pavilion,laptops,CALL,Imported from CSV Sheet,,true
HP OmniBook,laptops,CALL,Imported from CSV Sheet,,true
HP OmniBook,laptops,CALL,Imported from CSV Sheet,,true
HP ProBook,laptops,CALL,Imported from CSV Sheet,,true
Pending Confirmation,laptops,CALL,Imported from CSV Sheet,,true
HP Victus Gaming,laptops,CALL,Imported from CSV Sheet,,true
Pending Confirmation,laptops,CALL,Imported from CSV Sheet,,true
Pending Confirmation,laptops,CALL,Imported from CSV Sheet,,true
Solar Battery,solar,CALL,Imported from CSV Sheet,,true
Solar Battery,solar,CALL,Imported from CSV Sheet,,true
Solar Battery,solar,CALL,Imported from CSV Sheet,,true
Solar Battery,solar,CALL,Imported from CSV Sheet,,true
Solar Battery,solar,CALL,Imported from CSV Sheet,,true
Solar All-in-One,solar,CALL,Imported from CSV Sheet,,true
Solar Inverter,solar,CALL,Imported from CSV Sheet,,true
Solar Inverter,solar,CALL,Imported from CSV Sheet,,true
Solar Inverter,solar,CALL,Imported from CSV Sheet,,true
Solar Inverter,solar,CALL,Imported from CSV Sheet,,true
